               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.039895,            0.015561,           0.0066106,             0.48107,             0.40958,             0.40707,              0.2336,            0.042386,           0.0093659,            0.011871,            0.005248,            0.005248,            0.005248
                  50,            0.039566,            0.015805,           0.0066196,             0.52465,             0.42373,             0.40811,             0.23675,            0.042542,           0.0093419,            0.012116,            0.005149,            0.005149,            0.005149
                  51,            0.039406,             0.01551,           0.0067677,             0.55489,             0.38887,                0.41,             0.24214,            0.041996,           0.0092276,            0.011475,             0.00505,             0.00505,             0.00505
                  52,             0.03892,            0.015492,           0.0061599,              0.5404,             0.36765,             0.39647,             0.23373,            0.042263,           0.0092985,            0.011789,            0.004951,            0.004951,            0.004951
                  53,            0.038686,            0.015517,           0.0059738,             0.57134,             0.42855,             0.41959,             0.24792,            0.041438,           0.0092593,             0.01264,            0.004852,            0.004852,            0.004852
                  54,            0.038266,            0.015669,           0.0059062,             0.56465,             0.42992,             0.43533,             0.26215,            0.041161,           0.0091594,            0.011242,            0.004753,            0.004753,            0.004753
                  55,            0.038274,            0.015456,           0.0060071,             0.60089,             0.38728,             0.40823,             0.24599,            0.041644,           0.0092919,            0.011892,            0.004654,            0.004654,            0.004654
                  56,            0.038655,             0.01536,           0.0061763,             0.63586,             0.39297,             0.41398,             0.24966,            0.041643,            0.009208,            0.011619,            0.004555,            0.004555,            0.004555
                  57,            0.038276,            0.015465,           0.0059402,              0.5603,              0.4155,             0.40618,             0.24711,            0.041609,           0.0091952,            0.011947,            0.004456,            0.004456,            0.004456
                  58,            0.037302,            0.015578,           0.0056595,             0.60385,             0.37629,              0.4096,             0.24552,            0.041466,           0.0093051,            0.011499,            0.004357,            0.004357,            0.004357
                  59,            0.037569,             0.01524,           0.0053887,             0.57026,             0.39235,             0.40784,             0.24563,             0.04115,           0.0093402,            0.012297,            0.004258,            0.004258,            0.004258
                  60,            0.037577,            0.015098,           0.0054365,             0.56747,             0.43067,             0.43271,             0.25727,            0.041316,           0.0091983,            0.011608,            0.004159,            0.004159,            0.004159
                  61,            0.037183,            0.015096,           0.0054692,             0.48637,             0.45147,             0.41795,             0.25051,            0.041426,           0.0091982,            0.011321,             0.00406,             0.00406,             0.00406
                  62,            0.036883,            0.014989,           0.0053092,              0.5544,             0.40435,             0.41974,             0.24933,            0.041506,           0.0092396,            0.012055,            0.003961,            0.003961,            0.003961
                  63,            0.037135,            0.014925,           0.0053645,             0.47888,             0.42143,             0.41097,             0.24551,            0.041638,           0.0092397,             0.01141,            0.003862,            0.003862,            0.003862
                  64,            0.036587,            0.015021,            0.005406,             0.54043,             0.41417,             0.41533,             0.24819,            0.041294,           0.0092285,            0.012208,            0.003763,            0.003763,            0.003763
                  65,            0.036384,            0.014761,           0.0049956,             0.48926,             0.43214,             0.40729,             0.24539,            0.041475,           0.0092328,            0.012007,            0.003664,            0.003664,            0.003664
                  66,            0.036515,            0.014854,           0.0049236,             0.52783,             0.41361,             0.41294,             0.24623,            0.041321,           0.0090967,            0.011797,            0.003565,            0.003565,            0.003565
                  67,            0.036064,            0.014609,            0.004696,             0.50022,             0.45715,             0.42747,             0.25936,            0.041348,           0.0091152,            0.010955,            0.003466,            0.003466,            0.003466
                  68,            0.035865,            0.014591,           0.0049612,             0.47394,              0.4227,             0.42085,             0.25775,            0.040949,            0.009095,            0.011305,            0.003367,            0.003367,            0.003367
                  69,            0.035763,            0.014744,            0.004367,              0.5793,             0.38891,             0.43404,             0.25196,            0.040782,           0.0091824,            0.011732,            0.003268,            0.003268,            0.003268
                  70,            0.035681,            0.014323,           0.0046321,             0.52564,             0.38077,             0.41554,             0.24995,            0.040741,           0.0092247,            0.011484,            0.003169,            0.003169,            0.003169
                  71,            0.035133,            0.014356,           0.0044949,             0.52739,              0.4019,             0.41996,             0.25674,            0.040597,            0.009124,            0.011202,             0.00307,             0.00307,             0.00307
                  72,            0.035075,            0.014333,           0.0041535,             0.59956,             0.38627,             0.42076,              0.2605,            0.040149,           0.0091319,            0.011262,            0.002971,            0.002971,            0.002971
                  73,             0.03535,            0.014159,           0.0046763,             0.47237,              0.4083,              0.4178,             0.25444,            0.040506,           0.0090723,            0.011668,            0.002872,            0.002872,            0.002872
                  74,            0.034878,            0.014421,           0.0047147,              0.4913,             0.39996,              0.4168,             0.25691,            0.040578,           0.0090522,            0.012029,            0.002773,            0.002773,            0.002773
                  75,            0.035065,            0.014419,           0.0043324,             0.58135,             0.40114,              0.4263,             0.26062,            0.040617,           0.0091185,            0.011441,            0.002674,            0.002674,            0.002674
                  76,            0.034661,            0.014006,           0.0041727,             0.62674,              0.3945,             0.43543,             0.27137,            0.040405,           0.0091573,            0.011504,            0.002575,            0.002575,            0.002575
                  77,            0.034433,            0.014196,           0.0040682,             0.51465,             0.43923,             0.43912,              0.2676,            0.040621,           0.0090938,             0.01206,            0.002476,            0.002476,            0.002476
                  78,            0.034352,            0.014048,            0.003761,             0.58814,             0.40589,             0.43256,             0.26518,            0.040378,           0.0090756,            0.013069,            0.002377,            0.002377,            0.002377
                  79,            0.033887,            0.013857,           0.0040117,             0.60538,             0.40479,             0.43315,              0.2679,            0.040641,           0.0092799,            0.012533,            0.002278,            0.002278,            0.002278
                  80,            0.033775,            0.013509,           0.0036674,             0.49379,              0.4276,             0.41596,             0.25329,            0.040612,           0.0092839,            0.012695,            0.002179,            0.002179,            0.002179
                  81,             0.03347,            0.013888,           0.0037791,             0.65445,             0.40208,             0.43774,             0.26662,            0.040418,           0.0091694,            0.012347,             0.00208,             0.00208,             0.00208
                  82,            0.033589,            0.013866,            0.003717,             0.49311,             0.42281,             0.43565,             0.27017,            0.040231,           0.0091013,            0.012713,            0.001981,            0.001981,            0.001981
