   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.60706,             0.28867,             0.28048,             0.14384,            0.045568,           0.0075483,            0.010228,             0.00922,             0.01261,                0.98,             0.00049,              2.7596,                0.95,             0.09417,             0.04819,             0.45567,              0.7098,              1.2892,             0.81271,                 0.2,              2.9152,                   0,              0.0158,             0.65396,             0.36279,                   0,              0.0922,             0.47163,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.9749
             0.60708,             0.28481,             0.27981,             0.14393,             0.04284,           0.0071613,            0.011332,              0.0089,             0.01275,             0.96825,             0.00046,               2.627,                0.95,             0.10564,              0.0476,             0.46658,             0.88862,              1.3206,             0.99477,                 0.2,              2.4331,                   0,             0.01568,             0.68066,             0.43462,                   0,             0.07342,             0.50889,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.6236
             0.60582,             0.30085,             0.28445,             0.14701,             0.03804,           0.0093998,            0.011511,             0.00777,             0.01026,                0.98,             0.00039,              2.9986,                0.95,             0.09676,             0.03944,             0.44243,             0.95477,              1.2514,              1.0028,                 0.2,              3.0363,                   0,             0.01748,             0.67322,             0.41567,                   0,              0.0792,             0.53209,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4731
              0.6991,             0.33494,             0.34328,             0.19509,            0.043027,            0.008314,           0.0094383,             0.00777,             0.01151,             0.93508,             0.00048,              2.7506,             0.93914,             0.09755,             0.04935,             0.38276,              0.8841,              1.1619,              1.0586,                 0.2,              3.0308,                   0,             0.01668,             0.69144,             0.43961,                   0,              0.0853,             0.48218,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.8187
             0.64467,              0.3236,             0.31714,             0.17191,            0.050716,            0.010425,            0.013337,             0.01184,             0.01089,             0.93186,             0.00022,              3.2331,             0.75652,             0.10668,             0.05207,             0.52388,                   1,             0.79728,              1.2468,                 0.2,              4.3572,                   0,             0.01595,             0.60801,             0.32541,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
              0.6083,             0.30146,             0.28823,             0.14402,            0.047063,            0.011717,            0.013869,                0.01,             0.01022,             0.97926,             0.00048,              3.0924,              0.8197,             0.09996,             0.04704,             0.47721,              1.1023,              1.0365,              1.0134,                 0.2,              4.3293,                   0,               0.015,                 0.7,             0.37437,                   0,             0.10322,             0.46578,                   0,                   0,                   0,                 0.5,             0.89967,                   0,                   0,              2.6482
             0.61878,             0.34025,              0.3262,              0.1743,            0.045946,            0.009275,             0.01317,                0.01,                0.01,             0.93692,              0.0005,                   3,              0.7994,             0.10545,                0.05,              0.5158,              1.0485,             0.97607,               1.008,                 0.2,              3.8746,                   0,               0.015,                 0.7,             0.39526,                   0,             0.10446,             0.47605,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.68012,               0.309,             0.33587,             0.18023,            0.045042,            0.010212,            0.012149,             0.00962,             0.01015,             0.92964,             0.00051,              3.1136,             0.82696,                 0.1,             0.04988,                 0.5,                   1,                   1,              0.9835,                 0.2,              4.2704,                   0,             0.01413,             0.66682,             0.38239,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,             0.97631,                   0,                   0,              3.0396
             0.65764,             0.32608,             0.33002,             0.18347,            0.047305,           0.0081117,             0.01305,             0.01014,             0.01149,             0.90087,             0.00048,              2.5205,             0.73708,             0.09392,             0.05291,                 0.5,             0.98403,             0.88167,              1.0153,                 0.2,              3.6936,                   0,             0.01601,             0.78429,             0.45696,                   0,             0.10404,             0.55142,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5883
             0.58079,              0.2613,             0.22726,             0.11139,             0.05883,           0.0077902,            0.016667,             0.00751,                0.01,                0.98,             0.00067,              2.7473,             0.81353,             0.05991,             0.05719,             0.50996,              1.1534,              1.0091,             0.84568,                 0.2,              3.3247,                   0,             0.00928,             0.74278,             0.45696,                   0,             0.07871,             0.45732,                   0,                   0,                   0,                 0.5,             0.97699,                   0,                   0,              2.5883
